DATE,Observation time,Showalter index,Lifted index,LIFT computed using virtual temperature,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
2004 JAN 16, 040116/0000,0.01,5.03,-1333.78,-36.31,N/A,874.06,292.15,917.68,344.28,299.43,15.38,27.29,27.65,16.02,15.53,-10.52,7.11,-3.4,5858.11,-13.81,N/A,450.85
2004 JAN 17, 040117/0000,2187.8,2415.79,-153.26,-19.58,98.96,875.27,296.44,960.13,356.26,299.93,19.35,34.8,12.05,-1.17,-2.14,4.5,22.5,27,5807,2.9,98.97,674.03
2004 JAN 18, 040118/0000,2612.99,2861.89,-1.95,-0.73,124.76,943.03,295.36,961.96,350.9,298.67,17.94,43.02,3.53,-3.56,-4.36,17.8,22.3,40.1,5724,27.8,124.93,933.14
2004 JAN 22, 040122/0000,1661.49,2002.25,-6.75,-6.56,N/A,886.56,293.02,906.8,349.73,301.33,16.42,28.29,-2.46,-5.03,-6.02,23.76,24.56,48.33,5713.22,N/A,N/A,883.02
2004 JAN 23, 040123/0000,1537.58,2045.06,-1.23,-0.77,N/A,939.43,296.93,961.03,358.49,300.35,19.77,16.61,N/A,-5.28,-6.53,N/A,22.7,N/A,5780,N/A,N/A,935.36
2004 JAN 24, 040124/0000,2113.28,2361.36,-2.67,-0.85,N/A,942.21,295.17,951.82,351.71,299.38,17.91,43.7,-0.01,-5.04,-5.91,21.6,23.3,44.9,5717,23.4,N/A,933.2
2004 JAN 25, 040125/0000,457.85,610.59,-23.98,-20.65,N/A,866.28,295.9,949.82,355.45,300.31,18.75,55.71,0.8,-1.25,-1.91,19.36,21.27,40.63,5810.14,30.28,N/A,853.11
2004 JAN 26, 040126/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2004 JAN 27, 040127/0000,422.82,551.3,-90.77,-56.29,200.14,813.99,293.01,932.26,345.49,298.98,15.98,42.28,5.04,-0.59,-1.12,14.7,23.7,38.4,5748.97,21.1,200.13,785.87
2004 JAN 28, 040128/0000,0,0,0,0,N/A,N/A,269.38,865.72,290.3,280.77,10.21,41.49,5.85,35.71,35.99,15.81,15.94,31.75,5731.68,17.68,N/A,N/A
2004 JAN 29, 040129/0000,2923.76,3200.09,0,0,N/A,957.12,295.96,962.39,353.57,299.23,18.59,43.82,5.68,-2.08,-3.04,16.6,18.3,34.9,5705,13,N/A,953.64
2004 JAN 30, 040130/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
