DATE,Observation time,Showalter index,Lifted index,LIFT computed using virtual temperature,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
1990 JAN 1, 900101/0000,21.3,20.54,24.28,13.38,-1.27,-0.13,-1.4,12000.35,12052.02,-5.77,-4.32,116.88,114.22,808.77,823.01,295.18,932.01,355.13,301.24,18.28,3184.26,480.07
1990 JAN 2, 900102/0000,9.15,-2.08,-3.18,22.96,13.38,15.35,28.73,879.43,1141.03,-16.09,-18.06,N/A,N/A,925.1,925.26,297.42,960.02,361.14,300.95,20.42,5788.9,54.67
1990 JAN 3, 900103/0000,-14.75,-21.42,-22,45.97,37.84,42.15,79.99,5609.77,5717.97,-0.5,0,N/A,N/A,888.3,843.45,289.1,896.46,335.88,298.36,13.15,3205.49,61.87
1990 JAN 4, 900104/0000,11.44,48.48,48.47,19.9,9.09,15.08,24.17,0,0,0,0,N/A,N/A,N/A,N/A,258.16,822.13,277.24,272.9,3.73,5476.39,32.72
1990 JAN 5, 900105/0000,N/A,N/A,N/A,N/A,N/A,20.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,297.69,N/A,5663.18,0
1990 JAN 6, 900106/0000,-3.19,0.7,0.59,41.55,21.91,28.77,50.68,6960.53,6994.04,-861.62,-889.64,159.84,158.73,494.53,488.64,289.41,887.49,338.41,299.48,13.29,5770.36,63
1990 JAN 7, 900107/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,292.35,932.89,342.67,298.23,15.32,N/A,163.8
1990 JAN 10, 900110/0000,3.58,5.21,4.4,14.89,16.65,19.26,35.92,0,0,0,0,N/A,N/A,N/A,N/A,291.95,922.81,342.66,298.77,15.05,5836.41,38.17
1990 JAN 11, 900111/0000,4.21,2.94,2.18,19.83,15.89,22.1,37.98,12,31.75,-316.23,-225.47,531.79,527.14,581.66,611.16,291.2,915.78,340.81,298.64,14.45,5752.11,38.99
1990 JAN 12, 900112/0000,8.73,8.64,8.28,19.03,11.56,14.24,25.8,0,0,0,0,N/A,N/A,N/A,N/A,293.47,937.99,346.51,298.92,16.34,5515.96,57.3
1990 JAN 15, 900115/0000,14.38,7.18,6.66,N/A,2.15,21.27,23.42,0,0,0,0,N/A,N/A,N/A,N/A,287.58,898.15,330.34,296.57,11.76,5635.33,16.68
1990 JAN 16, 900116/0000,15.81,9.51,8.99,N/A,0.16,20.1,20.26,0,0,0,0,N/A,N/A,N/A,N/A,288.91,928.92,330.42,295.08,12.27,5780,18.51
1990 JAN 17, 900117/0000,8.49,3.37,2.72,N/A,12.87,20.12,32.99,0,17.6,0,-54.2,N/A,755.07,N/A,837.7,290.61,932.09,336.06,296.54,13.69,5638.75,24.66
1990 JAN 18, 900118/0000,11.76,8,7.33,N/A,6.77,19.58,26.35,0,0,0,0,N/A,N/A,N/A,N/A,290.2,915.49,337.02,297.64,13.55,5829.91,25.19
1990 JAN 23, 900123/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A
1990 JAN 24, 900124/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.9,146.84,-6.73,-2.99,727.9,699.89,907.32,915.74,290.52,924.15,336.9,297.17,13.73,N/A,25.67
1990 JAN 25, 900125/0000,4.89,4.64,3.85,N/A,14.51,21.47,35.97,0,0,0,0,N/A,N/A,N/A,N/A,292.05,928.6,342.14,298.33,15.04,5814.88,28.28
1990 JAN 27, 900127/0000,8.55,-1.05,-2.09,N/A,9.53,23.55,33.08,521.44,692.45,-229.19,-54.5,231.66,271.51,632.7,820.47,295.21,957.25,351.01,298.94,17.86,5773.73,26.17
1990 JAN 28, 900128/0000,N/A,3.96,3.19,N/A,N/A,24.07,N/A,0,0,0,0,N/A,N/A,N/A,N/A,291.6,923.68,341.14,298.33,14.71,5690.94,15.06
1990 JAN 29, 900129/0000,4.61,1.97,0.9,N/A,15.4,19.36,34.76,5433.79,5465.05,-923.22,-531.3,165.79,165.66,337.76,337.59,294.57,932.01,352.35,300.58,17.61,6480.5,29.3
1990 JAN 31, 900131/0000,7.97,2.22,1.47,N/A,11.9,21.9,33.8,0,0,0,0,N/A,N/A,N/A,N/A,290.77,907.89,340.37,298.93,14.22,5785,24.39
1990 FEB 1, 900201/0000,2.77,0.25,-0.75,26.64,17.07,22.2,39.27,6.54,51.5,-373.05,-229.29,431.97,433.3,480.28,507.77,294.67,949.11,349.93,299.14,17.4,5783.1,45.34
1990 FEB 2, 900202/0000,-14.96,-21.71,-22.27,46.7,38.58,41.96,80.54,5553.72,5656.24,-0.05,0,N/A,N/A,901.72,857.89,289.42,909.23,335.11,297.49,13.25,3133.77,62.67
1990 FEB 4, 900204/0000,10.09,-1.06,-2.01,N/A,6.81,24.32,31.13,343.78,470.03,-272.01,-1704.46,301.37,N/A,561.99,155.22,294.65,959.56,348.14,298.17,17.16,5635.14,25.73
1990 FEB 7, 900207/0000,-15.53,-24.07,-24.76,47.94,39.3,41.93,81.23,9993.57,10202.54,-0.23,0,N/A,N/A,935.19,906.24,292.12,940.51,340.57,297.32,15.03,5064.92,66.33
1990 FEB 8, 900208/0000,2.35,-1.46,-2.26,N/A,18.51,24.18,42.7,187.47,344.37,-81.43,-63.61,440.77,440.85,831.76,841.82,290.48,888.37,342.33,300.49,14.24,5711.03,26.23
1990 FEB 9, 900209/0000,1.65,-3.72,-4.9,6.39,18.72,22.9,41.62,11415.04,11612.13,-2.19,-0.48,119.82,115.43,887.65,900.77,295.83,943.37,356.22,300.84,18.87,3279.69,40.95
1990 FEB 10, 900210/0000,N/A,N/A,N/A,N/A,N/A,14.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,274.85,N/A,4900.28,0
1990 FEB 11, 900211/0000,0.7,-5.16,-6.2,N/A,21.43,22.53,43.96,1351.08,1564.16,-3.24,-3.47,225.61,286.95,936.65,937.41,294.94,948.81,351.18,299.42,17.68,5674.29,33.6
1990 FEB 12, 900212/0000,9.96,1.57,0.74,N/A,8.12,22.85,30.96,0,0.24,0, ********,N/A,N/A,N/A,36.34,291,894.58,343.39,300.43,14.74,5775.01,23.79
1990 FEB 13, 900213/0000,4.82,-1.69,-2.64,N/A,15.7,22.7,38.4,603.15,897.82,-3.93,-0.46,272.11,275.02,920.89,935.2,293.73,936.25,347.9,299.33,16.61,5759,30.76
1990 FEB 14, 900214/0000,4,0.39,-0.52,N/A,16.09,22.5,38.59,8092.13,8136.03,-309.16,-27.12,126.1,123.59,483.06,798.42,292.26,908.39,346.25,300.5,15.78,3332.72,32.63
1990 FEB 16, 900216/0000,-5.83,-7.61,-8.67,35.89,26.21,28.35,54.56,8469.64,8611.57,-10.45,-6.39,127.64,116.84,827.17,847.68,294.62,935.6,351.94,300.32,17.59,3355.85,47.56
1990 FEB 17, 900217/0000,0.85,-3.04,-4.17,31.2,18.8,24.34,43.13,840.46,1089.54,-67.54,-36.86,163.1,162.42,772.58,822.49,295.66,949.11,354.46,300.15,18.54,5729.7,46.44
1990 FEB 18, 900218/0000,0.92,-0.82,-1.92,32.13,19.5,20.87,40.37,11536.96,11678.49,-1.09,-0.45,118.94,116.1,880.5,894.62,295.52,949.87,353.67,299.95,18.32,3338.15,50.98
1990 FEB 19, 900219/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.13,5.69,-2.7,-0.98,898.47,885.54,923.43,935.92,294.65,958.66,348.28,298.26,17.22,N/A,160.92
1990 FEB 20, 900220/0000,3.48,N/A,N/A,15.9,18.1,20.1,38.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,5749,5749
1990 FEB 21, 900221/0000,11.46,1.96,1.03,N/A,7.95,19.6,27.55,0.52,126.45,-48.72,-20.61,527.44,527.43,817.25,871.09,293.83,943.09,347.24,298.82,16.59,5773.5,24.55
1990 FEB 22, 900222/0000,8.22,3.45,2.63,N/A,10.3,22.3,32.6,0,0,0,0,N/A,N/A,N/A,N/A,292.09,922.32,343.29,298.94,15.19,5797,23.75
1990 FEB 23, 900223/0000,N/A,0.35,-0.79,N/A,N/A,24.89,N/A,0,20.03,0,-138.99,N/A,573.1,N/A,551.5,295.93,954.99,354.72,299.88,18.8,5670.7,21.15
1990 FEB 24, 900224/0000,15.04,7.03,6.23,0.14,3.44,17.3,20.73,10.78,23.69,-0.77,-0.34,899.75,881.92,940.88,941.65,292.72,943.36,342.52,297.66,15.49,5664.15,25.52
1990 FEB 25, 900225/0000,7.65,4.26,3.45,N/A,13.37,18.21,31.58,0,1.03,0,-886.13,N/A,N/A,N/A,218.99,292.45,936.14,342.59,298.04,15.31,5759.63,29.69
1990 FEB 26, 900226/0000,5.82,3.92,3.09,17.47,12.82,22.67,35.49,0,0,0,0,N/A,N/A,N/A,N/A,291.44,904.25,343.56,299.96,14.86,5750.92,34.51
1990 FEB 27, 900227/0000,4.87,-0.18,-1.08,14.31,14.4,24,38.4,5168.88,5239,-496.23,-311.18,239.14,239.14,501.15,497.06,293.32,935.11,346.34,299.03,16.22,5637.64,36.4
1990 FEB 28, 900228/0000,-4.93,-5.39,-6.64,43.63,23.57,28.04,51.62,12771.57,12966.55,-104.85,-100.79,122.09,121.73,733.91,737.49,296.85,959.11,358.43,300.48,19.7,4458.06,57.6
1990 MAR 1, 900301/0000,5.58,-4.54,-5.64,23.06,10.73,28.53,39.26,7667.68,7848.81,-139.96,-81.76,N/A,N/A,728.69,769.13,295.22,943.45,353.35,300.2,18.09,4652.67,38.67
1990 MAR 2, 900302/0000,4.28,-0.47,-1.65,N/A,14.38,23.02,37.4,81.6,347.04,-245.32,-95.08,319.35,N/A,585.21,475.46,295.7,940.12,356.18,301,18.72,5820.54,24.96
1990 MAR 4, 900304/0000,1.7,0.69,-0.42,N/A,17.36,22.4,39.77,0,29.99,0,-196.34,N/A,533.34,N/A,587.28,294.91,933.2,353.68,300.83,17.95,5694.16,39.82
1990 MAR 5, 900305/0000,3.19,-2.15,-3.03,18.96,16.68,23.18,39.86,3973.8,4217.76,-146.99,-16.82,132.18,131.03,590.99,889.65,295.23,946.25,352.94,299.95,18.07,7343.97,43.83
1990 MAR 6, 900306/0000,2.28,1,0.27,20.9,17.7,21.5,39.2,0,0,0,0,N/A,N/A,N/A,N/A,293.25,915.36,349.28,300.79,16.49,5809.88,43.51
1990 MAR 7, 900307/0000,3.06,-0.93,-1.99,16.1,16.7,22.7,39.4,256.57,476.9,-121.27,-51.14,290.27,291.1,689.24,765.23,294.66,936.82,351.93,300.23,17.6,5784,40.36
1990 MAR 8, 900308/0000,7.92,5.44,4.52,N/A,9.4,22.4,31.8,0,0,0,0,N/A,N/A,N/A,N/A,292.67,915.87,346.72,300.15,15.94,5856.49,22.45
1990 MAR 11, 900311/0000,3.27,3.39,2.43,27.19,16.57,19.75,36.32,455.88,492.17,-673.6,-459.49,N/A,N/A,453.29,449.65,294.12,943.01,348.51,299.12,16.89,7845.22,47.09
1990 MAR 13, 900313/0000,4.28,0.25,-0.86,26.99,16.69,18.56,35.25,181.58,334.4,-2.89,-2.13,523.57,493.91,929.94,934.26,295.7,953.69,353.83,299.75,18.43,5522.08,49.11
1990 MAR 14, 900314/0000,N/A,-0.4,-1.72,N/A,N/A,19.92,N/A,0,0,0,0,N/A,N/A,N/A,N/A,297.01,950.09,360.83,301.4,20.1,4986.4,19.85
1990 MAR 15, 900315/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,454.16,566.77,-44.29,-20.71,N/A,N/A,872.81,889.05,296,939.4,357.72,301.35,19.09,N/A,39.13
1990 MAR 16, 900316/0000,12.85,7.27,7.35,19.71,5.05,14.9,19.95,0,0,0,0,N/A,N/A,N/A,N/A,297.35,946.13,363.27,302.12,20.65,5337.26,82.6
1990 MAR 17, 900317/0000,-1.21,-6.03,-7.34,32.35,21,23.84,44.84,4172.76,4538.53,-11.78,-9.2,109.62,109.3,899.67,904.86,298.2,958.57,365.43,301.84,21.46,5769.75,55.41
1990 MAR 21, 900321/0000,1.81,-1.91,-3.21,25.31,17.47,22.42,39.89,3271.81,3601.64,-65.36,-51.3,133.03,131.85,815.34,840.02,296.84,950.09,359.98,301.25,19.88,5736.91,46.55
1990 MAR 22, 900322/0000,10.82,4.56,3.3,N/A,9.03,14.73,23.76,16.47,195.17,-2.02,-1.44,795.37,573.92,928.22,933.28,296.78,953.67,359.02,300.84,19.72,5538.41,39.04
1990 MAR 23, 900323/0000,0.65,-1.43,-2.68,N/A,18.7,22.35,41.05,18091.29,18362.08,-53.88,-33.66,144.68,144.47,728.54,786.33,296.63,952.59,358.47,300.82,19.58,4404.64,44.67
1990 MAR 24, 900324/0000,8.19,-0.72,-1.68,15.5,13.37,19.3,32.68,405.82,413.6,0,0,282.72,533.1,929.34,929.34,293.62,929.34,348.57,299.86,16.77,5635.15,36.07
1990 MAR 25, 900325/0000,0.38,-0.48,-1.67,22.79,19.16,21.61,40.77,343.72,610.21,-76.62,-60.64,N/A,N/A,730.29,776.86,296.01,946.96,356.46,300.68,18.94,5817.68,47.98
1990 MAR 28, 900328/0000,4.99,-0.84,-2.04,32.24,13.23,23.75,36.98,87.66,228.18,-172.59,-108.34,359.78,437.81,726.05,741.08,295.78,939.93,356.6,301.09,18.82,5646.7,48.14
1990 MAR 29, 900329/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,531.85,573.78,-35.69,-24.71,N/A,N/A,873.77,874.92,294.36,935.95,350.72,300,17.28,N/A,23.43
1990 MAR 30, 900330/0000,-16.57,-24.71,-25.46,49.77,39.89,42.34,82.24,8324.19,8504.06,0,0,N/A,N/A,929.04,898.56,292.6,933.99,343.5,298.42,15.68,4091.21,71.02
1990 MAR 31, 900331/0000,-3.12,-5.14,-6.44,35.38,22.6,25.27,47.87,857.87,978.57,-63.34,-53.44,321.85,411.16,836.91,846.75,296.56,941.96,360.03,301.7,19.71,5457.66,51.61
1990 APR 1, 900401/0000,2.65,-1.89,-3.12,21.44,16.73,22.7,39.43,208.22,372.45,-60.86,-25.77,423.6,491.02,745.47,817.48,295.86,935.64,357.73,301.56,19,5413.82,43.34
1990 APR 5, 900405/0000,0.95,0.04,-1.22,31.09,18.28,21.1,39.38,66.73,169.61,-111.6,-87.58,556.95,561.18,703.8,723.4,296.21,939.73,358.73,301.55,19.34,5670.13,53.76
1990 APR 6, 900406/0000,-3.47,-1.2,-2.31,36.82,22.37,24.7,47.07,245.45,410.71,-188.4,-167.13,364.27,372.23,671.56,695.22,295.45,946.28,353.92,300.16,18.38,5667.53,55.09
1990 APR 8, 900408/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,283.68,404.53,-25.88,-21.33,N/A,N/A,864.35,874.89,296.84,939.6,361.84,302.19,20.1,N/A,53.78
1990 APR 9, 900409/0000,-1.82,-3.46,-4.52,37.53,21.32,22.31,43.64,1911.24,2195.99,-23.19,-20.92,N/A,N/A,868.56,876.61,297.7,952.62,363.89,301.89,20.91,5821.28,60.63
1990 APR 10, 900410/0000,2.05,-0.34,-1.63,33.05,18.28,18.62,36.9,1475.66,1719.95,-5.02,-2.85,130.55,130.36,912.36,919.74,296.18,933.95,359.56,302.04,19.43,5802.58,56.25
1990 APR 13, 900413/0000,0.83,-2.12,-3.31,29.77,17.47,25.68,43.15,399.43,323.43,-259.82,-178.53,264.31,412.05,636.2,672.98,295.28,926.14,356.62,301.86,18.52,5632.39,50.88
1990 APR 14, 900414/0000,-20.65,-34.63,-35.76,43.44,41.36,51.13,92.5,22502.8,23130.64,0,0,123.29,118.33,884.83,884.83,293.26,884.83,354.63,303.71,17.2,8346.13,69.57
1990 APR 16, 900416/0000,-3.19,-4.73,-5.61,36.1,21.13,26.78,47.91,1565.95,1758.42,-152.74,-107.48,158.14,187.94,717.96,761.2,297.85,942.57,366.53,302.95,21.33,5707.07,63.94
1990 APR 18, 900418/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A
1990 APR 19, 900419/0000,N/A,-2.59,-3.91,N/A,N/A,21.53,N/A,0,0,0,0,N/A,N/A,N/A,N/A,296.9,947.73,360.72,301.51,20.01,5017.49,12.43
1990 APR 20, 900420/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3.72,0,-54.88,N/A,714.14,N/A,756.27,296.85,938.42,362.14,302.32,20.15,N/A,71.15
1990 APR 22, 900422/0000,2.14,0.78,-0.46,33.7,16.75,21.36,38.11,85.77,163.78,-138.63,-108.51,571.81,558.45,725.56,740.93,296.2,943.1,358.05,301.24,19.25,5453.47,53.71
1990 APR 24, 900424/0000,2.11,-0.08,-1.28,30.08,16.48,23.18,39.67,40.45,152.36,-152.5,-107.69,626.46,518.32,713.33,738.81,296.14,949.48,356.65,300.58,19.04,5766.25,47.75
1990 APR 26, 900426/0000,-1.54,-5.93,-7.2,30.12,22.32,23.44,45.76,2387.85,2709.36,-5.03,-2.89,N/A,N/A,918.54,926.16,296.4,942.92,359.09,301.45,19.52,5772.53,47.77
1990 APR 27, 900427/0000,1.21,-1.91,-3.17,N/A,18.47,21.89,40.36,353.85,449.43,-35.18,-25.34,245.6,381.89,835.22,861.04,296.26,939.48,358.98,301.62,19.39,5796.51,40.03
1990 APR 28, 900428/0000,0.41,-0.05,-1.31,26.18,18.86,20.99,39.85,700.87,907.69,-144.25,-67.78,221.71,234.51,618.85,692.99,295.96,931.25,359.01,302.08,19.21,5815.78,53.89
1990 APR 29, 900429/0000,0.03,-1.4,-2.74,N/A,19.17,21.79,40.96,177.3,443.55,-56.47,-51.7,472.07,486.46,803.62,825.46,296.7,938.19,361.39,302.19,19.97,5289.1,38.46
1990 APR 30, 900430/0000,-0.22,-2.72,-4.06,31.14,20.09,21.51,41.59,449.94,623.25,-12.16,-10.47,381.67,449.13,884.47,890.74,297.31,955.05,361.44,301.26,20.37,5478.47,54.91
1990 MAY 1, 900501/0000,-2.78,-2.65,-3.86,35.28,22.31,23.49,45.8,918.42,1178.85,-61.78,-62.58,186.38,193.25,790.55,796.52,295.31,923.44,357.24,302.12,18.6,5814.43,54.39
1990 MAY 2, 900502/0000,-1.96,-4.68,-5.43,36.17,21.75,23.4,45.16,2158.11,2385.46,-7.35,-5.88,158.46,156.93,903.94,909.05,297.44,954.38,362.24,301.45,20.53,5798.1,64.71
1990 MAY 3, 900503/0000,-4.01,-4.52,-5.24,39.91,22.46,28.4,50.86,9727.5,9853.31,-138.72,-118.84,130.57,129.7,704.43,717.91,295.73,943.12,355.81,300.79,18.7,4463.04,62.05
1990 MAY 4, 900504/0000,-1.56,-2.99,-3.65,36.49,21.52,24.03,45.55,1084.53,1234.63,-51.33,-38.73,168.81,179.2,797.81,815.26,294.96,934.08,353.75,300.8,18,5789.14,58.97
1990 MAY 6, 900506/0000,-1.01,-0.69,-1.45,32.73,20.75,23.73,44.47,9804.49,9913.17,-493.02,-381.37,138.21,137.71,504.61,508.64,294.32,942.14,349.5,299.4,17.15,7566.8,56.21
1990 MAY 8, 900508/0000,5.29,4.75,4.93,32.36,14.69,15.92,30.61,6069.08,6128.2,0,0,N/A,N/A,940.01,942.99,295.98,956.44,354.7,299.82,18.74,4389.65,74.35
1990 MAY 12, 900512/0000,1.17,-2.09,-3.55,36.54,18.74,19.63,38.37,526.4,656.68,-2.59,-1.65,365.19,470.06,918.27,924.4,297.78,947.74,365.22,302.4,21.12,5378.24,57.94
1990 MAY 15, 900515/0000,-0.12,-0.76,-1.36,28.1,19.26,21.19,40.45,268.37,313.06,-291.7,-76.52,206.54,263.89,529.34,838.62,296.78,939.22,361.63,302.18,20.04,5868.65,63.58
1990 MAY 16, 900516/0000,1.72,-0.47,-1.68,28.51,17.46,22.2,39.65,18.09,70.39,-198.12,-103.9,443.51,479.44,563.25,644.08,296.03,944.26,357.05,300.96,19.03,5676.06,53.98
1990 MAY 20, 900520/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.74,402.57,-0.74,-0.44,N/A,N/A,935.82,941.86,296.72,972.34,355.52,299.13,19.26,N/A,40.55
1990 MAY 21, 900521/0000,0.18,-1.16,-1.46,34.66,20.1,22.74,42.84,174.72,223.15,-108.57,-76.79,332.91,360.01,664.99,681.58,294.75,949.64,350.16,299.15,17.46,5636.77,62.39
1990 MAY 23, 900523/0000,-14.16,-24.77,-25.58,40.72,37.25,42.13,79.38,10324.68,10583.42,-0.13,0,N/A,N/A,935.96,906.22,292.84,940.6,343.47,298.05,15.83,5069.36,71.84
1990 MAY 24, 900524/0000,-12.18,-24.11,-24.89,32.9,34.62,42.15,76.77,13415.34,13680.96,-0.77,0,141.29,138.96,926.3,891.61,292.1,931.95,341.82,298.08,15.32,5062.17,71.44
1990 JUN 1, 900601/0000,-1.21,-2.05,-2.41,37.94,21.26,23.28,44.54,7722.48,7850.72,-70.64,-53.9,126.88,125.23,733.5,737.25,295.48,954.89,352.64,299.44,18.18,6479.98,62.92
1990 JUN 3, 900603/0000,0.52,0.13,-0.21,35.8,19.53,21.3,40.83,0,39.2,0,-56.85,N/A,469.79,N/A,715.4,294.88,941.84,352.09,300.01,17.75,5817.4,60.43
1990 JUN 4, 900604/0000,-1.58,-4.29,-4.77,36.82,22.55,24.62,47.17,729.53,841.71,-7.5,-3.91,N/A,N/A,883.73,838.2,294.86,956.76,349.49,298.64,17.46,5712.26,59.48
1990 JUN 5, 900605/0000,-18,-22.9,-23.89,52.76,39.58,41.12,80.7,9518.19,9759.11,-0.7,-0.09,N/A,N/A,935.27,945.46,295.61,962.93,351.88,298.84,18.19,5267.35,57.74
1990 JUN 6, 900606/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.44,90.19,-56.81,-10.6,N/A,N/A,630.25,631.1,294.42,966.26,346.04,297.33,16.81,N/A,35.8
1990 JUN 8, 900608/0000,-12.41,-25.64,-26.53,33.01,34.77,42.25,77.03,14892.27,15314.79,-0.8,0,N/A,N/A,943.22,917.64,293.75,947.67,346.14,298.31,16.57,7042.98,73.67
1990 JUN 11, 900611/0000,2.72,-0.87,-2.1,26.54,17.37,20.31,37.67,417,704.38,-8.85,-5.5,320.75,331.57,884.04,903.83,296.65,957.37,357.77,300.39,19.5,5798.56,47.91
1990 JUN 20, 900620/0000,-13.96,-24.24,-25.04,38.99,36.62,42.39,79.01,8121.79,8327.12,-0.14,0,N/A,N/A,919.59,883.3,292.1,924.89,342.95,298.75,15.52,4073,73.63
1990 JUN 21, 900621/0000,1.44,-0.34,-0.54,35.53,19.68,20.69,40.37,248.56,315.97,-27.11,-27.83,318.06,333.4,866.12,868.73,294.92,963.97,348.59,298.06,17.36,5723.82,63.26
1990 JUN 24, 900624/0000,3.08,1.28,0.19,25.5,16.81,20.12,36.93,7790.05,7873.69,-81.92,-62.83,136.53,136.09,749.55,790.34,295.67,957.05,353.15,299.43,18.34,6605.11,46.78
1990 JUN 26, 900626/0000,-0.11,0.95,0.52,33.83,18.63,22.77,41.4,1379.48,1445.78,-688.25,-599.48,N/A,N/A,484.13,490.31,296.44,960.45,356.21,299.92,19.18,5901.44,66.81
1990 JUN 28, 900628/0000,9.12,6.77,6.35,25.71,11.07,13.25,24.32,197.41,285.35,-36.95,-31.57,247.35,267.74,866.35,874.26,294.64,917.02,355.25,302.05,17.97,5841.6,62.76
1990 JUN 30, 900630/0000,-0.53,-0.7,-1.12,34.3,20.1,20.9,41,12849.78,12937.5,-12.03,-11.39,N/A,N/A,807.7,817.62,296.57,948.31,358.93,301.18,19.58,3257.4,71.29
1990 JUL 1, 900701/0000,0.12,-3.17,-3.91,34.48,19.66,23.65,43.31,604.05,750.97,-40.87,-29.95,287.43,340.36,817.29,848.98,296.24,952.82,356.55,300.39,19.09,5712.59,57.5
1990 JUL 2, 900702/0000,-2.15,-0.78,-0.96,37.5,21.46,23.76,45.22,4840.21,4888.97,-213.22,-194.25,135.15,134.62,652.56,663.62,295.3,950.76,352.5,299.63,18.04,5427.99,71.08
1990 JUL 3, 900703/0000,1.41,0.9,0.82,35.63,19.07,19.4,38.47,248.61,290.89,-35.24,-36.09,515.66,N/A,854.42,856.15,295.57,958.59,352.43,299.2,18.2,5786.87,66.4
1990 JUL 5, 900705/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A
1990 JUL 6, 900706/0000,1.19,-0.47,-0.65,35.56,19.81,21.17,40.98,63.56,105.52,-1.14,-0.26,444.21,437.66,927.81,942.96,294.74,961.08,348.29,298.13,17.26,5515.33,61.13
1990 JUL 8, 900708/0000,4.27,13.06,12.71,31.94,17.39,18.48,35.87,0,0,0,0,N/A,N/A,N/A,N/A,287.49,963.28,321.12,290.62,10.87,5233.52,39.85
1990 JUL 9, 900709/0000,-2.25,-3.18,-3.64,39.81,22.73,22.92,45.64,2058.96,2186.47,-13.25,-15.55,131.59,131.55,876.7,873.24,296.02,961.15,354.06,299.42,18.67,5778.24,66.54
1990 JUL 10, 900710/0000,-5.77,-2.75,-3.32,46.45,24.12,24.21,48.33,3590.47,3721.78,-146.22,-177.15,125.96,125.02,746.33,747.04,298.51,974.48,364.15,300.76,21.59,5869.45,89.61
1990 JUL 11, 900711/0000,0.79,-1.21,-1.46,33.43,19.92,21.52,41.44,358.83,453.94,-20.71,-16.97,N/A,N/A,863.47,874.07,295.4,961.51,351.13,298.75,17.94,5775.49,61.85
1990 JUL 12, 900712/0000,5.01,2.66,2.75,31.21,16.66,17.72,34.38,54.5,71.21,-4.47,-2.48,738.48,735.93,911.05,924.13,293.87,954.93,345.48,297.79,16.42,5767.39,66.06
1990 JUL 17, 900717/0000,3.3,0.87,0.6,28.94,16.53,21.66,38.19,4432.44,4526.04,-122.68,-84.13,171.96,171.92,737.52,759.51,294.85,954.51,349.83,298.83,17.49,6460.42,55.78
1990 JUL 25, 900725/0000,0.3,0.37,-0.55,36.11,20.38,21.52,41.9,44.92,81.28,-55.76,-51.69,535.67,537.79,737.29,742.81,294.31,957.76,346.93,298,16.83,5530.85,54.83
1990 JUL 26, 900726/0000,-0.21,2.88,3.03,39.77,19.69,20.32,40,0,0,0,0,N/A,N/A,N/A,N/A,294.89,951.45,350.5,299.14,17.57,5861.43,84.97
1990 JUL 27, 900727/0000,-1.5,-4.05,-4.63,37.67,22.58,23.83,46.41,8459.82,8598.68,-0.19,0,132.5,132.24,942.26,948.75,295.22,961.07,350.41,298.61,17.78,5454.12,59.44
1990 JUL 28, 900728/0000,4.29,-0.59,-1.03,28.93,16.61,20.28,36.88,6885.09,7002.58,-3.77,-1.11,146.21,145.74,893.97,910.26,294.83,944.79,351.35,299.71,17.73,4431.42,55.96
1990 JUL 29, 900729/0000,1.63,-0.39,-1.07,30.55,19.09,20.93,40.02,8327.84,8560.83,-21.61,-15.79,127.02,125.64,861.04,881.16,295.01,955.2,350.43,298.91,17.63,7753.86,53.85
1990 JUL 30, 900730/0000,-0.47,-3.63,-4.67,31.52,20.57,25.07,45.63,9958.95,10203.36,-80.21,-54.5,152.7,152.68,795.88,826.46,294.95,948.25,351.32,299.49,17.72,6651.47,44.66
